Latitude,Longitude,NE Latitude,NE Longitude,SW Latitude,SW Longitude
37.7063323,-75.8069082,38.0279339,-75.1664349,37.4485619,-76.236458
38.0567092,-78.6114999,38.277923,-78.208092,37.722657,-78.8392109
38.8048355,-77.0469214,38.845011,-77.0372879,38.785216,-77.144359
37.8531975,-80.0534923,37.9606579,-79.612168,37.596428,-80.29614300000001
37.3212714,-77.973865,37.4980521,-77.648911,37.192197,-78.240748
37.5588285,-79.1096901,37.8141519,-78.867634,37.3856969,-79.436926
37.402489,-78.792953,37.5525419,-78.594352,37.20185190000001,-79.018526
38.8816208,-77.09098089999999,38.934343,-77.03214299999999,38.82729,-77.17216909999999
38.2004562,-79.24511489999999,38.477844,-78.7492961,37.88158680000001,-79.533311
38.111733,-79.6502105,38.266164,-79.436678,37.84445789999999,-80.05605589999999
37.2538794,-79.4703885,37.6181629,-79.183302,37.005876,-79.858058
37.0924986,-81.1196075,37.302279,-80.8546269,36.9524168,-81.4622129
37.5774613,-79.7848422,37.800989,-79.49855289999999,37.309177,-80.0737499
36.595142,-82.1887368,36.6776638,-82.1029901,36.5947322,-82.24276809999999
36.7570589,-77.8367282,37.024535,-77.6558409,36.5441561,-78.04620299999999
37.2403134,-81.9971108,37.5379801,-81.740124,37.038187,-82.31467579999999
37.50700800000001,-78.5660852,37.796886,-78.2397221,37.329553,-78.833365
37.7343004,-79.35392379999999,37.7615629,-79.3274911,37.6957351,-79.38264199999999
37.221014,-79.1096901,37.433663,-78.824209,37.0222878,-79.4428839
38.0445557,-77.2864879,38.252742,-77.06871000000001,37.776297,-77.643367
36.6778699,-80.7214417,36.93178,-80.453723,36.5578329,-81.04240600000001
37.4018216,-77.1485163,37.491315,-76.8715749,37.2229389,-77.27157489999999
37.0467412,-78.6114999,37.248759,-78.443319,36.697909,-78.9045869
38.0293059,-78.47667810000002,38.070591,-78.446311,38.0095839,-78.52363679999999
36.7682088,-76.2874927,36.866549,-76.065553,36.550447,-76.491497
37.3673217,-77.6077865,37.56263089999999,-77.2441669,37.21699400000001,-77.8784219
39.15165830000001,-77.973865,39.264534,-77.8281569,38.979479,-78.15198099999999
37.244039,-77.4102607,37.2985489,-77.3620819,37.233157,-77.431805
37.7934585,-79.99394629999999,37.813585,-79.966027,37.748244,-80.008994
37.44658950000001,-80.23213129999999,37.6602899,-79.969037,37.314901,-80.475601
38.491821,-77.973865,38.698923,-77.61872699999999,38.3085049,-78.231978
37.5175385,-78.24761459999999,37.7493799,-78.072256,37.30160600000001,-78.4650889
36.5859718,-79.39502279999999,36.644537,-79.302583,36.5408219,-79.51930089999999
37.0929465,-82.34518899999999,37.3063181,-82.13592799999999,36.95583680000001,-82.55383490000001
37.0769043,-77.6536125,37.2709708,-77.3946449,36.87375189999999,-77.90033790000001
36.6859829,-77.5424809,36.720588,-77.50671600000001,36.671669,-77.56388799999999
37.9671684,-76.964306,38.1620311,-76.6681819,37.728605,-77.17009999999999
38.9085472,-77.2405153,39.0570041,-77.0413619,38.6056169,-77.5367179
38.84622359999999,-77.30637329999999,38.8716918,-77.268624,38.832797,-77.3350519
38.88233400000001,-77.1710914,38.8998318,-77.14978889999999,38.8722096,-77.1948512
38.7208787,-77.79097759999999,39.013709,-77.530914,38.409155,-78.130849
36.9446308,-80.32131059999999,37.123488,-80.1044129,36.7087181,-80.6339868
37.8532863,-78.24761459999999,38.006399,-78.0624809,37.690308,-78.491567
36.9458815,-79.8296743,37.233073,-79.5922949,36.780752,-80.2354551
36.6776507,-76.9224608,36.708653,-76.90967189999999,36.647146,-76.9694339
39.2096441,-78.2601024,39.466012,-78.03307389999999,39.0078839,-78.54409
38.3031837,-77.4605399,38.326445,-77.447088,38.270245,-77.53268609999999
36.6612387,-80.9239671,36.695963,-80.8772741,36.62533,-80.9500209
37.3132885,-80.6770787,37.48167189999999,-80.4333608,37.1474819,-81.014489
37.4128281,-76.5025742,37.6031739,-76.3045001,37.2333159,-76.71230489999999
37.74159969999999,-77.973865,37.9046849,-77.61642789999999,37.56263089999999,-78.159317
36.6721195,-81.20781640000001,36.806422,-80.837954,36.559143,-81.677393
38.3120359,-78.4524591,38.4755079,-78.285918,38.184757,-78.663174
36.60568860000001,-77.6077865,36.89830300000001,-77.296875,36.5446389,-77.767117
36.6945049,-78.9288242,37.061498,-78.549228,36.541533,-79.21863789999999
37.0298687,-76.34522179999999,37.121231,-76.13374790000002,36.9247721,-76.45117
37.7772071,-77.5160788,38.008283,-77.1079599,37.5362511,-77.796869
38.4495688,-78.8689155,38.489258,-78.82425289999999,38.389363,-78.91811190000001
37.5059332,-77.3324425,37.7104111,-77.1771049,37.3519541,-77.6549109
36.6588867,-79.96403389999999,36.8561391,-79.6406521,36.541938,-80.095141
